SDate,STime,SDateTime,Station,GROW_AREA,OpenClosed,WDIR,Tide,Class,CATEGORY,Temp,Sal,ColiScore,RawColi,YEAR,LCFlag,RCFlag,ColiVal
2015-04-27,10:30:00,2015-04-27T10:30:00Z,WL103.00,WL,O,NW,E,A,A,8,26,1.9,<2,2015,TRUE,FALSE,2
2015-02-25,16:19:00,2015-02-25T16:19:00Z,WL103.00,WL,O,NE,H,A,A,-1,32,1.9,<2,2015,TRUE,FALSE,2
2019-08-26,10:25:00,2019-08-26T10:25:00Z,WL102.00,WL,O,,E,A,A,18,31,2,2,2019,FALSE,FALSE,2
2019-08-05,14:40:00,2019-08-05T14:40:00Z,WL102.00,WL,O,,HF,A,A,19,32,1.9,<2,2019,TRUE,FALSE,2
2019-07-24,18:35:00,2019-07-24T18:35:00Z,WL102.00,WL,O,,E,A,A,23,31,4,4,2019,FALSE,FALSE,4
2019-06-12,10:26:00,2019-06-12T10:26:00Z,WL102.00,WL,O,,E,A,A,16,25,10,10,2019,FALSE,FALSE,10
2019-05-13,17:10:00,2019-05-13T17:10:00Z,WL102.00,WL,O,,F,A,A,10,30,1.9,<2,2019,TRUE,FALSE,2
2019-04-02,12:05:00,2019-04-02T12:05:00Z,WL102.00,WL,O,,E,A,A,4,30,1.9,<2,2019,TRUE,FALSE,2
2018-08-20,09:00:00,2018-08-20T09:00:00Z,WL102.00,WL,O,CL,E,A,A,18,29,1.9,<2,2018,TRUE,FALSE,2
2018-08-01,17:27:00,2018-08-01T17:27:00Z,WL102.00,WL,O,CL,E,A,A,17,34,1.9,<2,2018,TRUE,FALSE,2
2018-06-18,16:27:00,2018-06-18T16:27:00Z,WL102.00,WL,O,E,HE,A,A,15,33,2,2,2018,FALSE,FALSE,2
2018-05-08,18:20:00,2018-05-08T18:20:00Z,WL102.00,WL,O,CL,H,A,A,13,25,1.9,<2,2018,TRUE,FALSE,2
2018-04-24,09:30:00,2018-04-24T09:30:00Z,WL102.00,WL,O,S,E,A,A,8,25,1.9,<2,2018,TRUE,FALSE,2
2018-04-09,09:15:00,2018-04-09T09:15:00Z,WL102.00,WL,O,NW,E,A,A,3,29,1.9,<2,2018,TRUE,FALSE,2
2017-12-18,13:20:00,2017-12-18T13:20:00Z,WL102.00,WL,O,S,E,A,A,1,30,1.9,<2,2017,TRUE,FALSE,2
2017-12-06,11:36:00,2017-12-06T11:36:00Z,WL102.00,WL,O,W,HF,A,A,4,30,8,8,2017,FALSE,FALSE,8
2017-11-29,10:32:00,2017-11-29T10:32:00Z,WL102.00,WL,O,,E,A,A,,,,,2017,,,
2017-08-22,12:25:00,2017-08-22T12:25:00Z,WL102.00,WL,O,CL,H,A,A,18,33,7.3,7.3,2017,FALSE,FALSE,7.3
2017-07-24,15:13:00,2017-07-24T15:13:00Z,WL102.00,WL,O,CL,E,A,A,12,30,20,20,2017,FALSE,FALSE,20
2017-06-13,15:39:00,2017-06-13T15:39:00Z,WL102.00,WL,O,CL,HE,A,A,20,28,9.1,9.1,2017,FALSE,FALSE,9.1
2017-04-05,08:27:00,2017-04-05T08:27:00Z,WL102.00,WL,O,CL,E,A,A,5,24,7.3,7.3,2017,FALSE,FALSE,7.3
2016-10-05,15:58:00,2016-10-05T15:58:00Z,WL102.00,WL,O,W,E,A,A,15,32,1.9,<2,2016,TRUE,FALSE,2
2016-08-08,15:43:00,2016-08-08T15:43:00Z,WL102.00,WL,O,NW,H,A,A,25,30,1.9,<2,2016,TRUE,FALSE,2
2016-06-27,14:35:00,2016-06-27T14:35:00Z,WL102.00,WL,O,S,F,A,A,19,30,2,2,2016,FALSE,FALSE,2
2016-05-31,10:30:00,2016-05-31T10:30:00Z,WL102.00,WL,O,CL,E,A,A,17,30,1.9,<2,2016,TRUE,FALSE,2
2016-05-11,13:26:00,2016-05-11T13:26:00Z,WL102.00,WL,O,N,F,A,A,11,31,1.9,<2,2016,TRUE,FALSE,2
2016-04-04,12:39:00,2016-04-04T12:39:00Z,WL102.00,WL,O,,E,A,A,,,,,2016,,,
2016-03-15,14:10:00,2016-03-15T14:10:00Z,WL102.00,WL,O,E,F,A,A,5,30,1.9,<2,2016,TRUE,FALSE,2
2015-12-10,10:02:00,2015-12-10T10:02:00Z,WL102.00,WL,O,E,H,A,A,7,30,1.9,<2,2015,TRUE,FALSE,2
2015-09-16,13:50:00,2015-09-16T13:50:00Z,WL102.00,WL,O,CL,H,A,A,18,30,1.9,<2,2015,TRUE,FALSE,2
2015-07-22,17:16:00,2015-07-22T17:16:00Z,WL102.00,WL,O,E,HE,A,A,21,29,1.9,<2,2015,TRUE,FALSE,2
2015-06-08,17:06:00,2015-06-08T17:06:00Z,WL102.00,WL,O,W,HE,A,A,10,28,1.9,<2,2015,TRUE,FALSE,2
2015-05-18,12:15:00,2015-05-18T12:15:00Z,WL102.00,WL,O,SE,H,A,A,14,30,3.6,3.6,2015,FALSE,FALSE,3.6
2015-04-27,10:21:00,2015-04-27T10:21:00Z,WL102.00,WL,O,NW,E,A,A,8,24,1.9,<2,2015,TRUE,FALSE,2
2015-02-25,16:16:00,2015-02-25T16:16:00Z,WL102.00,WL,O,,H,A,A,,,,,2015,,,
2019-08-26,10:17:00,2019-08-26T10:17:00Z,WL101.80,WL,O,,E,A,A,18,31,1.9,<2,2019,TRUE,FALSE,2
2019-08-05,14:28:00,2019-08-05T14:28:00Z,WL101.80,WL,O,,HF,A,A,21,32,1.9,<2,2019,TRUE,FALSE,2
2019-07-24,18:25:00,2019-07-24T18:25:00Z,WL101.80,WL,O,,HE,A,A,25,31,20,20,2019,FALSE,FALSE,20
2019-06-12,10:22:00,2019-06-12T10:22:00Z,WL101.80,WL,O,,E,A,A,16,25,1.9,<2,2019,TRUE,FALSE,2
2019-05-13,17:06:00,2019-05-13T17:06:00Z,WL101.80,WL,O,,F,A,A,10,30,1.9,<2,2019,TRUE,FALSE,2
2019-04-02,11:55:00,2019-04-02T11:55:00Z,WL101.80,WL,O,,E,A,A,3,28,1.9,<2,2019,TRUE,FALSE,2
2018-08-20,08:40:00,2018-08-20T08:40:00Z,WL101.80,WL,O,CL,HE,A,A,18,30,16,16,2018,FALSE,FALSE,16
2018-08-01,17:19:00,2018-08-01T17:19:00Z,WL101.80,WL,O,SE,E,A,A,17,34,1.9,<2,2018,TRUE,FALSE,2
2018-06-18,16:17:00,2018-06-18T16:17:00Z,WL101.80,WL,O,E,HE,A,A,15,32,1.9,<2,2018,TRUE,FALSE,2
2018-05-08,18:08:00,2018-05-08T18:08:00Z,WL101.80,WL,O,SW,H,A,A,13,25,16,16,2018,FALSE,FALSE,16
2018-04-24,09:25:00,2018-04-24T09:25:00Z,WL101.80,WL,O,CL,E,A,A,7,25,1.9,<2,2018,TRUE,FALSE,2
2018-04-09,09:13:00,2018-04-09T09:13:00Z,WL101.80,WL,O,NW,E,A,A,3,29,1.9,<2,2018,TRUE,FALSE,2
2017-12-18,13:10:00,2017-12-18T13:10:00Z,WL101.80,WL,O,S,E,A,A,0,30,4,4,2017,FALSE,FALSE,4
2017-12-06,11:25:00,2017-12-06T11:25:00Z,WL101.80,WL,O,W,HF,A,A,6,30,24,24,2017,FALSE,FALSE,24
2017-11-29,10:28:00,2017-11-29T10:28:00Z,WL101.80,WL,O,,E,A,A,,,,,2017,,,
2017-08-22,12:20:00,2017-08-22T12:20:00Z,WL101.80,WL,O,SW,H,A,A,18,33,6,6,2017,FALSE,FALSE,6
2017-07-24,15:03:00,2017-07-24T15:03:00Z,WL101.80,WL,O,CL,E,A,A,12,30,24,24,2017,FALSE,FALSE,24
2017-06-13,15:37:00,2017-06-13T15:37:00Z,WL101.80,WL,O,CL,HE,A,A,20,26,1.9,<2,2017,TRUE,FALSE,2
2017-04-05,08:34:00,2017-04-05T08:34:00Z,WL101.80,WL,O,CL,E,A,A,5,28,1.9,<2,2017,TRUE,FALSE,2
2016-10-05,15:46:00,2016-10-05T15:46:00Z,WL101.80,WL,O,W,HE,A,A,15,32,1.9,<2,2016,TRUE,FALSE,2
2016-08-08,15:36:00,2016-08-08T15:36:00Z,WL101.80,WL,O,NW,H,A,A,24,30,2,2,2016,FALSE,FALSE,2
2016-06-27,14:41:00,2016-06-27T14:41:00Z,WL101.80,WL,O,S,F,A,A,18,30,2,2,2016,FALSE,FALSE,2
2016-05-31,10:41:00,2016-05-31T10:41:00Z,WL101.80,WL,O,CL,E,A,A,18,30,2,2,2016,FALSE,FALSE,2
2016-05-11,13:19:00,2016-05-11T13:19:00Z,WL101.80,WL,O,N,F,A,A,11,30,1.9,<2,2016,TRUE,FALSE,2
2016-04-04,12:35:00,2016-04-04T12:35:00Z,WL101.80,WL,O,,E,A,A,,,,,2016,,,
2016-03-15,13:29:00,2016-03-15T13:29:00Z,WL101.80,WL,O,E,F,A,A,5,30,1.9,<2,2016,TRUE,FALSE,2
2015-12-10,09:50:00,2015-12-10T09:50:00Z,WL101.80,WL,O,E,H,A,A,6,30,1.9,<2,2015,TRUE,FALSE,2
2015-09-16,13:40:00,2015-09-16T13:40:00Z,WL101.80,WL,O,CL,H,A,A,19,30,1.9,<2,2015,TRUE,FALSE,2
2015-07-22,17:11:00,2015-07-22T17:11:00Z,WL101.80,WL,O,E,HE,A,A,20,30,2,2,2015,FALSE,FALSE,2
2015-06-08,16:56:00,2015-06-08T16:56:00Z,WL101.80,WL,O,W,HE,A,A,10,28,40,40,2015,FALSE,FALSE,40
2015-05-18,12:05:00,2015-05-18T12:05:00Z,WL101.80,WL,O,SE,H,A,A,13,30,1.9,<2,2015,TRUE,FALSE,2
2015-04-27,10:09:00,2015-04-27T10:09:00Z,WL101.80,WL,O,NW,E,A,A,8,24,1.9,<2,2015,TRUE,FALSE,2
2015-02-25,16:14:00,2015-02-25T16:14:00Z,WL101.80,WL,O,,H,A,A,,,,,2015,,,
2019-08-26,10:07:00,2019-08-26T10:07:00Z,WL101.00,WL,O,,E,CA,A,18,31,1.9,<2,2019,TRUE,FALSE,2
2019-08-05,14:20:00,2019-08-05T14:20:00Z,WL101.00,WL,O,,HF,CA,A,22,34,4,4,2019,FALSE,FALSE,4
2019-07-24,18:15:00,2019-07-24T18:15:00Z,WL101.00,WL,C,,HE,CA,A,22,31,1.9,<2,2019,TRUE,FALSE,2
2019-06-12,09:57:00,2019-06-12T09:57:00Z,WL101.00,WL,O,,E,CA,A,15,25,7.3,7.3,2019,FALSE,FALSE,7.3
2019-05-13,17:00:00,2019-05-13T17:00:00Z,WL101.00,WL,O,,F,CA,A,10,30,1.9,<2,2019,TRUE,FALSE,2
2019-04-02,11:50:00,2019-04-02T11:50:00Z,WL101.00,WL,O,,E,CA,A,4,26,1.9,<2,2019,TRUE,FALSE,2
2019-03-26,17:43:00,2019-03-26T17:43:00Z,WL101.00,WL,O,,HE,CA,A,4,30,1.9,<2,2019,TRUE,FALSE,2
2019-03-18,12:17:00,2019-03-18T12:17:00Z,WL101.00,WL,O,,E,CA,A,3,30,1.9,<2,2019,TRUE,FALSE,2
2019-03-05,17:17:00,2019-03-05T17:17:00Z,WL101.00,WL,,,LF,CA,A,,,,,2019,,,
2019-02-11,15:55:00,2019-02-11T15:55:00Z,WL101.00,WL,O,,HE,CA,A,-1,10,26,26,2019,FALSE,FALSE,26
2019-01-29,08:01:00,2019-01-29T08:01:00Z,WL101.00,WL,,,E,CA,A,,,,,2019,,,
2018-08-20,08:30:00,2018-08-20T08:30:00Z,WL101.00,WL,O,CL,HE,CA,A,18,29,6,6,2018,FALSE,FALSE,6
2018-08-01,17:11:00,2018-08-01T17:11:00Z,WL101.00,WL,O,SE,E,CA,A,18,34,38,38,2018,FALSE,FALSE,38
2018-06-19,08:00:00,2018-06-19T08:00:00Z,WL101.00,WL,O,CL,E,A,A,10,30,2,2,2018,FALSE,FALSE,2
2018-05-08,17:57:00,2018-05-08T17:57:00Z,WL101.00,WL,O,SW,H,A,A,15,25,1.9,<2,2018,TRUE,FALSE,2
2018-04-24,09:15:00,2018-04-24T09:15:00Z,WL101.00,WL,O,CL,E,A,A,7,26,1.9,<2,2018,TRUE,FALSE,2
2018-04-09,09:10:00,2018-04-09T09:10:00Z,WL101.00,WL,O,NW,E,A,A,3,29,1.9,<2,2018,TRUE,FALSE,2
2017-12-18,12:55:00,2017-12-18T12:55:00Z,WL101.00,WL,O,S,E,A,A,0,30,1.9,<2,2017,TRUE,FALSE,2
2017-11-29,10:10:00,2017-11-29T10:10:00Z,WL101.00,WL,O,SW,E,A,A,5,30,18,18,2017,FALSE,FALSE,18
2017-08-22,12:10:00,2017-08-22T12:10:00Z,WL101.00,WL,O,SW,H,A,A,21,33,15,15,2017,FALSE,FALSE,15
2017-07-24,14:48:00,2017-07-24T14:48:00Z,WL101.00,WL,O,CL,E,A,A,12,30,100,100,2017,FALSE,FALSE,100
2017-06-13,15:20:00,2017-06-13T15:20:00Z,WL101.00,WL,O,CL,HE,A,A,20,28,140,140,2017,FALSE,FALSE,140
2017-04-05,08:40:00,2017-04-05T08:40:00Z,WL101.00,WL,O,CL,E,A,A,5,28,4,4,2017,FALSE,FALSE,4
2016-10-05,15:29:00,2016-10-05T15:29:00Z,WL101.00,WL,O,W,HE,A,A,15,32,1.9,<2,2016,TRUE,FALSE,2
2016-08-08,15:29:00,2016-08-08T15:29:00Z,WL101.00,WL,O,NW,H,A,A,26,30,2,2,2016,FALSE,FALSE,2
2016-06-27,14:49:00,2016-06-27T14:49:00Z,WL101.00,WL,O,S,F,A,A,20,30,3.6,3.6,2016,FALSE,FALSE,3.6
2016-05-31,10:20:00,2016-05-31T10:20:00Z,WL101.00,WL,O,CL,E,A,A,18,30,6,6,2016,FALSE,FALSE,6
2016-05-11,12:59:00,2016-05-11T12:59:00Z,WL101.00,WL,O,N,F,A,A,12,28,1.9,<2,2016,TRUE,FALSE,2
2016-04-04,12:29:00,2016-04-04T12:29:00Z,WL101.00,WL,O,,E,A,A,,,,,2016,,,
2016-03-15,13:39:00,2016-03-15T13:39:00Z,WL101.00,WL,O,E,F,A,A,5,30,1.9,<2,2016,TRUE,FALSE,2
2015-12-10,09:44:00,2015-12-10T09:44:00Z,WL101.00,WL,O,E,H,A,A,7,30,4,4,2015,FALSE,FALSE,4
2015-09-16,13:30:00,2015-09-16T13:30:00Z,WL101.00,WL,O,CL,H,A,A,20,30,1.9,<2,2015,TRUE,FALSE,2
2015-07-22,17:06:00,2015-07-22T17:06:00Z,WL101.00,WL,O,E,HE,A,A,20,30,2,2,2015,FALSE,FALSE,2
2015-06-08,16:50:00,2015-06-08T16:50:00Z,WL101.00,WL,O,W,HE,A,A,11,28,4,4,2015,FALSE,FALSE,4
2015-05-18,11:58:00,2015-05-18T11:58:00Z,WL101.00,WL,O,SE,H,A,A,15,29,2,2,2015,FALSE,FALSE,2
2015-04-27,10:07:00,2015-04-27T10:07:00Z,WL101.00,WL,O,W,E,A,A,8,25,1.9,<2,2015,TRUE,FALSE,2
2015-02-25,16:10:00,2015-02-25T16:10:00Z,WL101.00,WL,O,,H,A,A,,,,,2015,,,
2019-08-26,10:05:00,2019-08-26T10:05:00Z,WL099.00,WL,O,,E,A,A,18,31,1.9,<2,2019,TRUE,FALSE,2
2019-08-05,14:10:00,2019-08-05T14:10:00Z,WL099.00,WL,O,,HF,A,A,21,32,2,2,2019,FALSE,FALSE,2
2019-07-24,18:10:00,2019-07-24T18:10:00Z,WL099.00,WL,O,,HE,A,A,22,31,2,2,2019,FALSE,FALSE,2
2019-06-12,09:49:00,2019-06-12T09:49:00Z,WL099.00,WL,O,,E,A,A,15,28,8,8,2019,FALSE,FALSE,8
2019-05-13,16:55:00,2019-05-13T16:55:00Z,WL099.00,WL,O,,F,A,A,10,32,1.9,<2,2019,TRUE,FALSE,2
2019-04-02,11:45:00,2019-04-02T11:45:00Z,WL099.00,WL,O,,E,A,A,3,30,1.9,<2,2019,TRUE,FALSE,2
2018-08-20,08:20:00,2018-08-20T08:20:00Z,WL099.00,WL,O,S,HE,A,A,16,29,2,2,2018,FALSE,FALSE,2
2018-08-01,17:04:00,2018-08-01T17:04:00Z,WL099.00,WL,O,SE,E,A,A,16,34,6,6,2018,FALSE,FALSE,6
2018-06-18,15:58:00,2018-06-18T15:58:00Z,WL099.00,WL,O,E,H,A,A,15,32,1.9,<2,2018,TRUE,FALSE,2
2018-05-08,17:52:00,2018-05-08T17:52:00Z,WL099.00,WL,O,SW,H,A,A,10,25,1.9,<2,2018,TRUE,FALSE,2
2018-04-24,09:05:00,2018-04-24T09:05:00Z,WL099.00,WL,O,S,E,A,A,6,26,8,8,2018,FALSE,FALSE,8
2018-04-09,09:05:00,2018-04-09T09:05:00Z,WL099.00,WL,O,NW,E,A,A,2,29,1.9,<2,2018,TRUE,FALSE,2
2017-12-18,12:51:00,2017-12-18T12:51:00Z,WL099.00,WL,O,S,E,A,A,1,30,1.9,<2,2017,TRUE,FALSE,2
2017-11-29,09:59:00,2017-11-29T09:59:00Z,WL099.00,WL,O,SW,E,A,A,5,30,1.9,<2,2017,TRUE,FALSE,2
2017-08-22,12:05:00,2017-08-22T12:05:00Z,WL099.00,WL,O,SW,H,A,A,16,33,1.9,<2,2017,TRUE,FALSE,2
2017-07-24,14:40:00,2017-07-24T14:40:00Z,WL099.00,WL,O,CL,E,A,A,11,30,10,10,2017,FALSE,FALSE,10
2017-06-13,15:18:00,2017-06-13T15:18:00Z,WL099.00,WL,O,CL,HE,A,A,20,28,4,4,2017,FALSE,FALSE,4
2017-04-05,08:46:00,2017-04-05T08:46:00Z,WL099.00,WL,O,CL,E,A,A,5,30,1.9,<2,2017,TRUE,FALSE,2
2016-10-05,15:25:00,2016-10-05T15:25:00Z,WL099.00,WL,O,W,HE,A,A,15,32,1.9,<2,2016,TRUE,FALSE,2
2016-08-08,15:22:00,2016-08-08T15:22:00Z,WL099.00,WL,O,NW,H,A,A,24,30,5.5,5.5,2016,FALSE,FALSE,5.5
2016-06-27,14:57:00,2016-06-27T14:57:00Z,WL099.00,WL,O,S,F,A,A,15,30,1.9,<2,2016,TRUE,FALSE,2
2016-05-11,12:53:00,2016-05-11T12:53:00Z,WL099.00,WL,O,N,F,A,A,10,31,1.9,<2,2016,TRUE,FALSE,2
2016-04-04,12:23:00,2016-04-04T12:23:00Z,WL099.00,WL,O,CL,E,A,A,2,26,1.9,<2,2016,TRUE,FALSE,2
2016-03-15,13:48:00,2016-03-15T13:48:00Z,WL099.00,WL,O,E,F,A,A,5,30,1.9,<2,2016,TRUE,FALSE,2
2015-12-10,09:33:00,2015-12-10T09:33:00Z,WL099.00,WL,O,E,H,A,A,7,30,2,2,2015,FALSE,FALSE,2
2015-09-16,13:19:00,2015-09-16T13:19:00Z,WL099.00,WL,O,CL,H,A,A,18,30,1.9,<2,2015,TRUE,FALSE,2
2015-07-22,16:59:00,2015-07-22T16:59:00Z,WL099.00,WL,O,E,HE,A,A,17,30,1.9,<2,2015,TRUE,FALSE,2
2015-06-08,16:41:00,2015-06-08T16:41:00Z,WL099.00,WL,O,W,H,A,A,11,27,6,6,2015,FALSE,FALSE,6
2015-05-18,11:51:00,2015-05-18T11:51:00Z,WL099.00,WL,O,SE,H,A,A,12,28,33,33,2015,FALSE,FALSE,33
2015-04-27,10:05:00,2015-04-27T10:05:00Z,WL099.00,WL,O,W,E,A,A,8,22,1.9,<2,2015,TRUE,FALSE,2
2015-02-25,16:08:00,2015-02-25T16:08:00Z,WL099.00,WL,O,,H,A,A,,,,,2015,,,
2019-08-26,09:55:00,2019-08-26T09:55:00Z,WL098.00,WL,O,,E,R,A,16,31,6,6,2019,FALSE,FALSE,6
2019-08-05,14:03:00,2019-08-05T14:03:00Z,WL098.00,WL,O,,HF,R,A,21,32,3.6,3.6,2019,FALSE,FALSE,3.6
2019-07-24,18:00:00,2019-07-24T18:00:00Z,WL098.00,WL,O,,HE,R,A,23,31,1.9,<2,2019,TRUE,FALSE,2
2019-06-12,09:38:00,2019-06-12T09:38:00Z,WL098.00,WL,O,,E,R,A,15,26,14,14,2019,FALSE,FALSE,14
2019-05-13,16:38:00,2019-05-13T16:38:00Z,WL098.00,WL,O,,F,R,A,9,32,1.9,<2,2019,TRUE,FALSE,2
2019-04-02,11:40:00,2019-04-02T11:40:00Z,WL098.00,WL,O,,E,R,A,4,24,4,4,2019,FALSE,FALSE,4
2018-08-20,08:05:00,2018-08-20T08:05:00Z,WL098.00,WL,O,S,HE,R,A,16,29,1.9,<2,2018,TRUE,FALSE,2
2018-08-01,16:53:00,2018-08-01T16:53:00Z,WL098.00,WL,O,SE,E,R,A,17,33,10,10,2018,FALSE,FALSE,10
2018-06-18,15:48:00,2018-06-18T15:48:00Z,WL098.00,WL,O,E,H,R,A,15,32,4,4,2018,FALSE,FALSE,4
2018-05-08,17:47:00,2018-05-08T17:47:00Z,WL098.00,WL,O,CL,HF,R,A,13,25,1.9,<2,2018,TRUE,FALSE,2
2018-04-24,09:00:00,2018-04-24T09:00:00Z,WL098.00,WL,O,S,E,R,A,7,24,1.9,<2,2018,TRUE,FALSE,2
2018-04-09,09:00:00,2018-04-09T09:00:00Z,WL098.00,WL,O,NW,E,R,A,3,26,3.6,3.6,2018,FALSE,FALSE,3.6
2017-12-18,12:45:00,2017-12-18T12:45:00Z,WL098.00,WL,O,S,E,R,A,1,30,1.9,<2,2017,TRUE,FALSE,2
2017-12-06,11:15:00,2017-12-06T11:15:00Z,WL098.00,WL,O,W,HF,R,A,5,30,13,13,2017,FALSE,FALSE,13
2017-11-29,09:55:00,2017-11-29T09:55:00Z,WL098.00,WL,O,,E,R,A,,,,,2017,,,
2017-08-22,12:00:00,2017-08-22T12:00:00Z,WL098.00,WL,O,SW,H,R,A,19,33,4,4,2017,FALSE,FALSE,4
2017-07-24,14:32:00,2017-07-24T14:32:00Z,WL098.00,WL,O,CL,E,R,A,11,30,220,220,2017,FALSE,FALSE,220
2017-06-13,15:09:00,2017-06-13T15:09:00Z,WL098.00,WL,O,CL,HE,R,A,20,26,4,4,2017,FALSE,FALSE,4
2017-04-05,08:51:00,2017-04-05T08:51:00Z,WL098.00,WL,O,CL,E,R,A,5,28,1.9,<2,2017,TRUE,FALSE,2
2016-10-05,15:08:00,2016-10-05T15:08:00Z,WL098.00,WL,O,W,HE,R,A,15,32,1.9,<2,2016,TRUE,FALSE,2
2016-08-08,15:15:00,2016-08-08T15:15:00Z,WL098.00,WL,O,NW,H,R,A,25,30,1.9,<2,2016,TRUE,FALSE,2
2016-06-27,15:04:00,2016-06-27T15:04:00Z,WL098.00,WL,O,S,F,R,A,20,30,1.9,<2,2016,TRUE,FALSE,2
2016-05-31,10:55:00,2016-05-31T10:55:00Z,WL098.00,WL,O,CL,E,R,A,18,28,2,2,2016,FALSE,FALSE,2
2016-05-11,12:48:00,2016-05-11T12:48:00Z,WL098.00,WL,O,N,F,R,A,10,24,1.9,<2,2016,TRUE,FALSE,2
2016-04-04,12:19:00,2016-04-04T12:19:00Z,WL098.00,WL,O,,E,R,A,,,,,2016,,,
2016-03-15,14:19:00,2016-03-15T14:19:00Z,WL098.00,WL,O,E,F,R,A,5,26,1.9,<2,2016,TRUE,FALSE,2
2015-12-10,09:25:00,2015-12-10T09:25:00Z,WL098.00,WL,O,E,H,R,A,7,30,1.9,<2,2015,TRUE,FALSE,2
2015-09-16,13:12:00,2015-09-16T13:12:00Z,WL098.00,WL,O,CL,H,R,A,18,30,2,2,2015,FALSE,FALSE,2
2015-08-25,12:50:00,2015-08-25T12:50:00Z,WL098.00,WL,O,CL,LE,R,A,23,28,44,44,2015,FALSE,FALSE,44
